rate,review_text,review_title,source_url,stay_info,trip_type,writer,writer_informations,writer_link,writing_date
5.0,"If you have a headache after exploring the Medina Markets and Jemaa El Fna then is the place to come. For 155 Dhirams you can have a soothing walk all around the beautiful garden surrounded by exotic plant life from South America, China and of course North Africa. They also have a gift shop that sells plenty of tea and a cafe to sit down and relax. A must for anyone wanting peace of mind.",Therapy from the Hustle and Bustle of the Medina,https://www.tripadvisor.com/Attraction_Review-g293734-d477277-Reviews-or10-Jardin_Majorelle-Marrakech_Marrakech_Safi.html,Jan 2024 • Solo,,sjohnleslie,"Birkenhead, UK,989 contributions",,"Written January 29, 2024"
5.0,"I love the tranquillity of Jardin Majorelle and have visited many times over the years. However, although the garden itself has never disappointed, I’ve always felt troubled by the amount of graffiti, often declarations of love, that vandals had carved on to the bamboo trees and wondered why staff had not been sufficiently vigilant to prevent this from happening. Anyway, visiting recently, I found that various changes had been implemented, including staff being far more visible than in the past and an obligatory online booking system being in place (you can no longer pay on arrival). However, the one change that gave me the most joy was finding that all the graffiti had been removed from the bamboo trees. I guess that the presence of more staff, who were strategically placed along a prescribed route that visitors were encouraged to follow, would prevent future vandalism. These gardens are so serene and spending an hour here, especially when there’s few people around, feels like being in paradise.",The graffiti has gone!,https://www.tripadvisor.com/Attraction_Review-g293734-d477277-Reviews-or10-Jardin_Majorelle-Marrakech_Marrakech_Safi.html,Nov 2023 • Friends,,Susan A,"Matlock,942 contributions",,"Written January 29, 2024"
4.0,the place were amazing and very refreshing but i think the price of the combined ticket is too much since the big museum was not as we expected...,nice but a little overpriced,https://www.tripadvisor.com/Attraction_Review-g293734-d477277-Reviews-or10-Jardin_Majorelle-Marrakech_Marrakech_Safi.html,Dec 2023 • Couples,,Eden H,3 contributions,,"Written January 29, 2024"
4.0,"These are lovely gardens, very photogenic but so over crowded. We visited 19 years ago and it was so peaceful and wonderful. Last week we were herded around like sheep and you had to constantly queue at many of the best photo opportunities. Understandably these are very popular but it has lost the wow factor from years ago. Also, a bit overpriced but worthy of a visit if you've not been before...suggest you go first of last thing.",Lovely garden but so crowded nowadays,https://www.tripadvisor.com/Attraction_Review-g293734-d477277-Reviews-or10-Jardin_Majorelle-Marrakech_Marrakech_Safi.html,Jan 2024 • Couples,,Ilovetravel,"Birmingham, UK,371 contributions",,"Written January 29, 2024"
5.0,"Buy the comprehensive ticket online to gain entry to the beautiful garden,  the interesting exhibit about the Amazigh people of Morocco and the YSL Museum down the street. Buy your ticket online to avoid the long ticket line. Go early in the morning to avoid crowds. No photos in the museums and exhibits.  Watch the short film about YSL ay the YSL Museum.",Buy the comprehensive ticket online,https://www.tripadvisor.com/Attraction_Review-g293734-d477277-Reviews-or10-Jardin_Majorelle-Marrakech_Marrakech_Safi.html,Jan 2024 • Solo,,CaliNativeinJersey,"New Brunswick, NJ,30 contributions",,"Written January 27, 2024"
2.0,"Look, I think it’s worth the visit because it’s a bit of tranquility outside the bustling city, although it is definitely overpriced.  You can walk there from the Medina. There are not many species of plants and almost no identification labels so I wouldn’t really call this a botanical garden. There are security guards everywhere making you stick to a path like cattle, even though there are paths going left and right.  Nope, you must follow everyone else.  And it’s quite small. But here’s the main problem.  It’s a nightmare of people trying to get instagram photos next to something half decent to make it look like they are the only one there.  So there are queues and queues of people who want to all get the same photo at every possible nice looking thing.   So if you just want to take a normal photo of a pretty building, you can’t because there is someone pretending to be a model in front of it.  It’d absolutely relentless. If you find a nice place to sit and try to admire the scenery for a few minutes, people will literally notice you and then stand around waiting for you to get up so they can sit there and get a photo. 3 out of 5 and that’s being generous.   Go there to laugh at the people pretending to be models.  It’s probably more entertaining than the plants.",Instagram cattle yard,https://www.tripadvisor.com/Attraction_Review-g293734-d477277-Reviews-or10-Jardin_Majorelle-Marrakech_Marrakech_Safi.html,Jan 2024 • Couples,,TheBirdWhoToldYou,"Mackay, Australia,38 contributions",,"Written January 24, 2024"
5.0,"Gorgeous gardens full of lots of native plants, beautifully maintained. It was a great way to spend an hour or so, though beware of the ridiculous number of Instagrammers trying to get the next great photo.  Also, don't touch the plants! LOL It's frowned upon. It also has a really nice cafe.",Lovely experience in the heart of the city,https://www.tripadvisor.com/Attraction_Review-g293734-d477277-Reviews-or10-Jardin_Majorelle-Marrakech_Marrakech_Safi.html,Jan 2024 • Solo,,Heather D,"Ottawa, Canada,18 contributions",,"Written January 23, 2024"
5.0,It was a fantastic garden. Many different kinds of plants are located around. You can buy online ticket and try to be there on time. You can take many nice photographs. Yves Saint Laurent lived there for a while if you want you can visit the museum,Nice Garden,https://www.tripadvisor.com/Attraction_Review-g293734-d477277-Reviews-or10-Jardin_Majorelle-Marrakech_Marrakech_Safi.html,Jan 2024 • Family,,Murat E,"Istanbul, Türkiye,6 contributions",,"Written January 23, 2024"
1.0,"Embarrassed for the way we were spoken to. Arrived at 17:01 as per the sign said last entry at 17:30 for a 18:00 close. Turns out the last ticket could be bought at 17:00? When we explained and pointed to the sign, the staff just said well noones in the ticket office, couldnt be bothered to look us in the eye when speaking. One man in particular, when I explained this was bucketlist for me and it was our last day, kept hinting they could let us in and then just went “what a shame”. Kept telling us it was sold out when it was quiet, on the rate occassion they decided to answer our questions. Truly odd to advertise incorrectly and then make excuses - gutted.",Incorrect times advertised and rude staff,https://www.tripadvisor.com/Attraction_Review-g293734-d477277-Reviews-or10-Jardin_Majorelle-Marrakech_Marrakech_Safi.html,Jan 2024 • Couples,,Keri Byrne,"London, UK,7 contributions",,"Written January 21, 2024"
1.0,No recommendations ….. for experienc is ok.. nice but not with this price…. I think more bigger and we see more things. Short visit. 40 min…,No recommendation,https://www.tripadvisor.com/Attraction_Review-g293734-d477277-Reviews-or10-Jardin_Majorelle-Marrakech_Marrakech_Safi.html,Jan 2024 • Friends,,Dora,"London, UK,2 contributions",,"Written January 20, 2024"
4.0,Extremely stunning.We really enjoyed our visit in this beautiful gardens.very well arranged and maintained.number one for instagram lovers.,Great place,https://www.tripadvisor.com/Attraction_Review-g293734-d477277-Reviews-or20-Jardin_Majorelle-Marrakech_Marrakech_Safi.html,Jan 2024 • Couples,,afonso antonio,"Mozambique,13 contributions",,"Written January 19, 2024"
5.0,"A lovely colorful and peaceful garden. However, the highlight for us was the excellent Berber Museum that displayed costumes and incredible Berber jewelry. I only wish that there had been English descriptions of the history. The Saint Ives Museum was also interesting, especially the video. The black dresses on the black models were difficult to see with the dim lighting.","Wort the combo ticket, book online for the time you wish to visit.",https://www.tripadvisor.com/Attraction_Review-g293734-d477277-Reviews-or20-Jardin_Majorelle-Marrakech_Marrakech_Safi.html,Jan 2024 • Couples,,Phyllis T,"Cuenca, Ecuador,20 contributions",,"Written January 17, 2024"
5.0,A must-do experience. Have lunch at the cafe inside the gardens and experience mint tea being poured from arm's length.,Fabulous gardens,https://www.tripadvisor.com/Attraction_Review-g293734-d477277-Reviews-or20-Jardin_Majorelle-Marrakech_Marrakech_Safi.html,Jan 2024,,DoctorCompRhet,"Raleigh, NC,325 contributions",,"Written January 16, 2024"
5.0,We attempted to visit Majorelle on our last stay in Marrakech but the wait was going to be hours to queue for entry and we therefore gave up! This time was more successful as the online booking system has improved the situation. We did still wait around 30 minutes but it was worth it! The gardens are breathtaking with beautiful plants and unusual cacti Colours throughout the gardens are wonderful Plenty of photo opportunities A lovely little restaurant situated near the Garden’s exit We visited in the middle of the day and were waiting to do photos etc as it was very busy. Try to visit as early as possible I would say is the preferred option.,Beautiful exotic gardens,https://www.tripadvisor.com/Attraction_Review-g293734-d477277-Reviews-or20-Jardin_Majorelle-Marrakech_Marrakech_Safi.html,Dec 2023 • Couples,,Zac_8,"Wiltshire, England,174 contributions",,"Written January 16, 2024"
2.0,"We bought the basic tickets (no museum) which cost 155dh each. At a very gentle stroll, it took us about 30 mins to see the gardens. Although it was pleasant and well-kept, it was nothing spectacular and definitely not worth the money. I can't for the life of me understand why this attraction is rated so highly. Save your cash and stroll around the gardens of the Mamounia Hotel for free. Much more impressive.",Underwhelming.,https://www.tripadvisor.com/Attraction_Review-g293734-d477277-Reviews-or20-Jardin_Majorelle-Marrakech_Marrakech_Safi.html,Jan 2024 • Couples,,BateyBoy,"Cardiff,46 contributions",,"Written January 16, 2024"
5.0,The gardens are stunning and very well kept. The cobalt blue used on the house and other fixtures is so vibrant. We were the second through the door when it opened at 8.30am. we got a lot of great photos without anyone around. By 9.30 it was packed. Get there early we got taxi from Jemaa El Fanaa square for 30 dirham.,I love the vibrant blue but get there early,https://www.tripadvisor.com/Attraction_Review-g293734-d477277-Reviews-or20-Jardin_Majorelle-Marrakech_Marrakech_Safi.html,Jan 2024 • Couples,,Johnny,6 contributions,,"Written January 14, 2024"
4.0,Very nice gardens with more Cacti than I knew existed. Well organised and maintained. Make sure you get there early as even in the off season it was very busy. Note that tickets have to be purchased online before,Very Nice but very busy,https://www.tripadvisor.com/Attraction_Review-g293734-d477277-Reviews-or20-Jardin_Majorelle-Marrakech_Marrakech_Safi.html,Jan 2024 • Couples,,sam w,"Norwich, UK,13 contributions",,"Written January 14, 2024"
5.0,"best place to get your holiday pics . lovely mix of colours, plants and art. do take time to go through the  different varieties of plants .",arty experience,https://www.tripadvisor.com/Attraction_Review-g293734-d477277-Reviews-or20-Jardin_Majorelle-Marrakech_Marrakech_Safi.html,Dec 2023 • Family,,BritDesi,"London, UK,27 contributions",,"Written January 9, 2024"
4.0,"This is Marrakech's No 1 tourist attraction. Book online a few days in advance and avoid disappointment. The garden was first formulated in 1923 by Jacques Majorelle (hence the name). After many decades it was purchased by the fashion designer Yves Saint Laurent and there is a memorial in the garden dedicated to him. You walk through a series of walkways around the garden which is well stocked with numerous types of cactus and bamboo's as well as indiginous plants.  There are beautiful ponds throughout the gardens and some wonderful houses all painted in electric blue. The downside is that it is very crowded, even with pre-booked tickets we had to queue 45 minutes to get in and you cannot walk freely around the gardens, there is a particular route  you walk which I presume is due the crowds. There is a  wonderful bookshop and upmarket shop at the end of the tour that caters for designer gifts and coffee books. If you visit  in low season it might be less crowded.",A Stunning Garden,https://www.tripadvisor.com/Attraction_Review-g293734-d477277-Reviews-or20-Jardin_Majorelle-Marrakech_Marrakech_Safi.html,Dec 2023 • Couples,,AvidTraveler12,"Winchester, UK,1,828 contributions",,"Written January 8, 2024"
5.0,"Botany has been my main hobby recently, just can't get enough of nature, I saw an Argen tree here. Check it out !",TROPICALLL,https://www.tripadvisor.com/Attraction_Review-g293734-d477277-Reviews-or20-Jardin_Majorelle-Marrakech_Marrakech_Safi.html,Aug 2023 • Solo,,T E M P,"London, UK,367 contributions",,"Written January 7, 2024"
1.0,"The most expensive ticket you will buy in Marrakech for the LEAST exciting experience. Nothing special at all, small garden with different trees that are imported from somewhere else. The security is everywhere around you which did not make me feel comfortable. There were 4 weird fish from Asia in a dirty pond I don’t know what is the context for their existence, and YSL memorial is so lame. So packed and so overrated. Hotel Mamounia has the same trees with even more variety, much much bigger space, with different cafes and restaurants,  and free entrance!",I don’t understand what is this cost for..,https://www.tripadvisor.com/Attraction_Review-g293734-d477277-Reviews-or30-Jardin_Majorelle-Marrakech_Marrakech_Safi.html,Jan 2024 • Friends,,manarrisd,2 contributions,,"Written January 6, 2024"
3.0,"We went here as part of a guided tour. Go early as it gets very busy. It was ok, if you like looking at plants that were taken from other parts of the world. It’s a private garden so I doubt it supports the local economy in any way. Nice cafe at the end to grab a coffee or food before moving on.",Underwhelming,https://www.tripadvisor.com/Attraction_Review-g293734-d477277-Reviews-or30-Jardin_Majorelle-Marrakech_Marrakech_Safi.html,Jan 2024 • Couples,,Shirene A,5 contributions,,"Written January 6, 2024"
5.0,Make sure you purchase your tickets online before your arrival. You won't be able to buy tickets on the spot. They put you by your time slot in front of the gate and without a reserved ticket you won't be able to go in. Garden itself was beautiful with exotic plants and blue houses everywhere. makes for perfect photo shots.,Buy your tickets online first,https://www.tripadvisor.com/Attraction_Review-g293734-d477277-Reviews-or30-Jardin_Majorelle-Marrakech_Marrakech_Safi.html,Nov 2023 • Friends,,Daisy Z,"Corona, CA,145 contributions",,"Written January 5, 2024"
5.0,Well-Maintained: The garden's pristine condition and well-kept paths contribute to a pleasant and enjoyable visit for all visitors.,Well-Maintained,https://www.tripadvisor.com/Attraction_Review-g293734-d477277-Reviews-or30-Jardin_Majorelle-Marrakech_Marrakech_Safi.html,Dec 2023 • Family,,Darragh M,3 contributions,,"Written January 5, 2024"
5.0,WHAT A beautiful GARDEN MAJORELLE WAS REALLY ONE OF THE BEST THINGS WE DID IN MARRAKECH AND BERBER MEUSEM OH MY GOD THIS COLLECTION BY ysl WAS ABSOLUELY AMZING,YSL CARMING GARDEN,https://www.tripadvisor.com/Attraction_Review-g293734-d477277-Reviews-or30-Jardin_Majorelle-Marrakech_Marrakech_Safi.html,Dec 2023 • Family,,marry c,3 contributions,,"Written January 5, 2024"
4.0,There is something special and magic in the garden - online booking only which is actually smart so there is solid management of the many visitors.,Lovely - book online in advance,https://www.tripadvisor.com/Attraction_Review-g293734-d477277-Reviews-or30-Jardin_Majorelle-Marrakech_Marrakech_Safi.html,Jan 2024 • Family,,Gualan_Marco,7 contributions,,"Written January 4, 2024"
3.0,"We had a good experience here. Great photo opportunities. The museum inside costs extra. If you are a botanical garden lover, this may be a bit basic compared to other ones you have seen. But a nice way to spend a couple of hours in greenery.",Cute but basic,https://www.tripadvisor.com/Attraction_Review-g293734-d477277-Reviews-or30-Jardin_Majorelle-Marrakech_Marrakech_Safi.html,Dec 2023 • Family,,SMZ,"Loudonville, United States,28 contributions",,"Written January 3, 2024"
1.0,"Decided to start my new year by visiting the famous Majorelle garden, Nah this was of course ruined by the shouting of the security guard to me in front of everyone. I may have made a mistake while buying the ticket online but they could just tell me privately and without shouting in front of everyone that was so embarrassing. So after sorting this out at 9 am, we started our tour that lasted not even 10 min, what a waste of energy and money, I really don’t know what is the big deal about it but everything was like everyone garden in Marrakech, secret garden is waaay better although is smaller ! I don’t recommend at all! Sorry",Ruined my new year,https://www.tripadvisor.com/Attraction_Review-g293734-d477277-Reviews-or30-Jardin_Majorelle-Marrakech_Marrakech_Safi.html,Jan 2024 • Couples,,Malika O,"Marrakech, Morocco,9 contributions",,"Written January 2, 2024"
1.0,"It deserves 0/5 stars, actually. Terrible experience. It's a small place with some unusually sized cacti. 450 dirhams for a family of four is as bad as throwing it down the drain. Generally, there is not much to do or see in Marrakesh, so we went there. But it was so evident this place was someone’s glorified back garden. Every 10 feet was manned by a rude employee who would tell you how to walk in that little dump. The only thought I had during my visit was that I could have donated that 450 dirhams to many beggars we saw all over the town.",Avoid,https://www.tripadvisor.com/Attraction_Review-g293734-d477277-Reviews-or30-Jardin_Majorelle-Marrakech_Marrakech_Safi.html,Dec 2023 • Family,,Sivarajanb,"London, UK,29 contributions",,"Written January 1, 2024"
5.0,"Absolute must-do, the Gardens are stunning! We visited on a combined ticket with the Musee Yves Saint Laurent and advance booking is highly recommended. Despite advance booking we queue outside (in the shade mostly) for about 20 minutes. We walked around the stunning gardens first, then stopped for a light lunch in the cafe and then the YSL museum. Hope this review was helpful and you enjoy your visit.",Absolute must-do combined ticket with the YSL museum,https://www.tripadvisor.com/Attraction_Review-g293734-d477277-Reviews-or30-Jardin_Majorelle-Marrakech_Marrakech_Safi.html,Mar 2023 • Friends,,Escape from Reality,"Kent, UK,136 contributions",,"Written January 1, 2024"
3.0,"I was pleasantly surprised by Jardin Majorelle. The price vs. what I had read in reviews made me questions if this was worth a visit. I would say yes but go early before the crowds arrive. A ""must see"" for lovers of cacti and the colour blue.",An OK Place to Visit for Cactus Fans,https://www.tripadvisor.com/Attraction_Review-g293734-d477277-Reviews-or40-Jardin_Majorelle-Marrakech_Marrakech_Safi.html,Dec 2023 • Family,,GtheKiwi,"Maastricht, The Netherlands,128 contributions",,"Written December 31, 2023"
4.0,"The garden boasts a beautiful landscape with easy walking paths, picturesque views, vibrant colors, and lush greenery. It's advisable to purchase your ticket in advance to secure your preferred time slot, but on-the-day purchases are also available—just be prepared for potential wait times. Conveniently, there are numerous cafes nearby, offering a pleasant option to pass the time while anticipating your visit.",Beautiful and Bright,https://www.tripadvisor.com/Attraction_Review-g293734-d477277-Reviews-or40-Jardin_Majorelle-Marrakech_Marrakech_Safi.html,Dec 2023 • Friends,,PeruR,"London, UK,10 contributions",,"Written December 26, 2023"
4.0,"This is a really lovely, quiet, shady spot albeit a small garden that could be completed in 30 mins.  We stretched it out to a couple of hours by doing 7 loops, lots of photos and a coffee. We got there early but in December it was quiet and was better around 10.30 when it started to warm up and still quiet.  Down side is quite expensive for a family, there is a discount if you have a student card but not many kids in secondary school have one.","Small but beautifully maintained, exotic garden - expensive for what you see.",https://www.tripadvisor.com/Attraction_Review-g293734-d477277-Reviews-or40-Jardin_Majorelle-Marrakech_Marrakech_Safi.html,Dec 2023 • Family,,Pants,"Quarndon, UK,6 contributions",,"Written December 26, 2023"
5.0,"One of the best place in this city, the garden is stunning! Very colourful and beautiful! You can per-book the ticket online, it’s very easy with the process.",Beautiful garden,https://www.tripadvisor.com/Attraction_Review-g293734-d477277-Reviews-or40-Jardin_Majorelle-Marrakech_Marrakech_Safi.html,Dec 2023 • Family,,Joe,"Sidcup, UK,8 contributions",,"Written December 26, 2023"
5.0,"The fresh air is a perfect reason to visit this lovely place! Make sure to book your tickets before visiting and follow the scheduled time. Don't be late. On the ticket, at the bottom left corner, there is information about where to start your tour. Initially, I was annoyed by their directive regarding where to commence my own tour, but it's simply their policy.",Such a lovely place,https://www.tripadvisor.com/Attraction_Review-g293734-d477277-Reviews-or40-Jardin_Majorelle-Marrakech_Marrakech_Safi.html,Dec 2023 • Friends,,David sb,3 contributions,,"Written December 25, 2023"
5.0,"We tried to visit in November, but were thwarted by the need to book on line.  We were prepared on our return to Marrakech, and easily got tickets the day before our visit, for the time we wanted. Not a cheap venue, especially if you go for the combined museums’ ticket, but we came away with the view that it was worth it.  We spent a good few hours in the garden, as the Berber/Amazigh museum is within the area…..sometimes just sitting on the numerous benches, and just revelling in the views.  We sort of went round twice, as we realised we had missed areas, and this did not present a problem to the security staff.  The gardens are really beautiful, and there are a myriad of photo opportunities…. Even if you have to avoid the Instagram/Facebook selfie aficionados…. particularly impressive is the use of colour.  Sadly the plant identifications weren’t as helpful as they might have been.  Some had no labels at all, which is a pity, but others might have been included in a group identification board…. Great idea, but this needs serious revisiting, as many have grown out of all recognition, or are simply no longer there or replaced by something else.",Wish there were a way to avoid the crowds!,https://www.tripadvisor.com/Attraction_Review-g293734-d477277-Reviews-or40-Jardin_Majorelle-Marrakech_Marrakech_Safi.html,Dec 2023 • Couples,,LaJarrie,"Southampton, UK,491 contributions",,"Written December 24, 2023"
1.0,Unfortunately this is NOT the experience it once was. The staff has managed to ruin a lovely spot with their harsh treatment of visitors. It was not like this in the past. There are and were years ago the very obvious signals of disrespect for anyone other than the French such as the complete dismissal of anyone who speaks any other language (all museum exhibitions are written only in French). Ironically in a museum that displays Berber culture they manage to negate all Berber identity. I truly cannot believe they are still able to get away with French colonialism and charge for the “privilege”.,Needs a lot of change,https://www.tripadvisor.com/Attraction_Review-g293734-d477277-Reviews-or40-Jardin_Majorelle-Marrakech_Marrakech_Safi.html,Dec 2023 • Family,,Katherine F,14 contributions,,"Written December 24, 2023"
1.0,"Based on the pictures and reviews, we started our visit with enthusiasm. Once inside, we found the layout and plant selection to be quite mediocre. Some elements appear to be randomly arranged - a large Koi pond on one side, a small Koi pond at the very end. Some plants looked untended and dry. Despite the moderate crowd, we were ushered for no clear reason at various spots. We also had to wait for a long time after we were done to collect a backpack we had to leave at the entrance. Save your time and money and see the other great places in Marrakech.","Overrated garden, pompous staff",https://www.tripadvisor.com/Attraction_Review-g293734-d477277-Reviews-or40-Jardin_Majorelle-Marrakech_Marrakech_Safi.html,Dec 2023 • Family,,LJGulliver,"La Jolla, CA,3 contributions",,"Written December 23, 2023"
5.0,"Beautiful, huge gardens with all types of plants and cacti. It was a lovely place to stroll for an hour or so.",Beautiful place,https://www.tripadvisor.com/Attraction_Review-g293734-d477277-Reviews-or40-Jardin_Majorelle-Marrakech_Marrakech_Safi.html,Dec 2023 • Family,,BetsyHK,"Hong Kong, China,230 contributions",,"Written December 21, 2023"
3.0,Overrated tourist attraction. The gardens are nice but it is quite small and takes about 1 to 2 hours. Lots of people. Nicely painted blue and yellow. Lots of cactus plants.,Tourist garden,https://www.tripadvisor.com/Attraction_Review-g293734-d477277-Reviews-or40-Jardin_Majorelle-Marrakech_Marrakech_Safi.html,Dec 2023 • Friends,,Beth C,3 contributions,,"Written December 20, 2023"
5.0,that was one of the highlights of the trip we visited the gardens the berber museum and YSL all was a very nice experience highly recommended,Beautiful place,https://www.tripadvisor.com/Attraction_Review-g293734-d477277-Reviews-or50-Jardin_Majorelle-Marrakech_Marrakech_Safi.html,Nov 2023 • Friends,,Levi B,3 contributions,,"Written December 17, 2023"
